Brand,ProductCategory,ProductSubCategory,BarCode,ProductCode,ProductName,ProductDescription,Tax,MRP,SalesPrice,Unit,HSNCode
MAHARAJA WHITE LINE,GOODS,,,1,JMG I HAPPINESS-(MARK1)-,,28,,1250,NOS,8509 40 10
VIDEOCON,GOODS,,,2,VIDEOCON REF VC-060PSH/61PSH,,28,,5078.13,PIECES,8418 10 10
SAMSUNG,GOODS,,,3,SAMSUNG M/W CE76JD-B/XTL,,28,,7637.5,PCS,8516 10 00
PHILIPS,GOODS,,,4,PHILIPS JUICE EXTRACTOR HL 1631/02-NEW,,28,,1446,PCS,8509 40 10
PHILIPS,GOODS,,,5,90134-PHILIPS HAIR DRYER HP8141,,28,,390.62,PCS,8516 10 00
HINDWARE,GOODS,,,6,HI95. HINDWARE CT MILANO GI 4B (90010760),,18,,4915.25,NOS,7321 11 10
HINDWARE,GOODS,,,7,HI93. HINDWARE CT MILANO GI 3B,,18,,4237.28,NOS,7321 11 10
HINDWARE,GOODS,,,8,hi54. HINDWARE DELFINA PLUS 60CM BK,,18,,7711.86,NOS,8414 51 10
PHILIPS,GOODS,,,9,PHILIPS VACCUM CLEANER FC8082/01-NEW,,28,,3984.38,PCS,8508 11 00
PHILIPS,GOODS,,,10,PHILIPS VACCUM CLEANER BAGLESS FC8085/01,,28,,4589.84,PCS,8508 11 00
PHILIPS,GOODS,,,11,PHILIPS AIRFRYER HD9216/81- NEW ,,28,,5468.75,PCS,8516 10 00
PHILIPS,GOODS,,,12,PHILIPS INDUCTION COOKTOP HD4920/00-NEW,,28,,1503.12,PCS,8516 10 00
PHILIPS,GOODS,,,13,PHILIPS DRY IRON HI113/28-NEW,,28,,564.84,PCS,8516 10 00
PHILIPS,GOODS,,,14,PHILIPS DRY IRON (GC181/80) -NEW,,28,,789,PCS,8516 10 00
PHILIPS,GOODS,,,15,PHILIPS STEAM IRON GC1905/21- NEW,,28,,965.62,PCS,8516 10 00
PHILIPS,GOODS,,,16,PHILIPS STEAM IRON 1440W (GC1920/28) -NEW,,28,,1067.19,PCS,8516 10 00
PHILIPS,GOODS,,,17,PHILIPS STEAM IRON 1000HV GC1010/01-NEW,,28,,707.03,PCS,8516 10 00
PHILIPS,GOODS,,,18,PHILIPS STEAM IRON GC2040/70- NEW,,28,,1628.13,PCS,8516 10 00
PHILIPS,GOODS,,,19,PHILIPS STEAM IRON GC2048/30- NEW,,28,,2035.16,PCS,8516 10 00
PHILIPS,GOODS,,,20,PHILIPS STRAIGHTENER BHS 384/00 NEW,,28,,1026.56,PCS,8516 10 00
PHILIPS,GOODS,,,21,PHILIPS STRAIGHTENER BHS386/00 DIYA 3 NEW,,28,,1410.16,PCS,8516 10 00
PHILIPS,GOODS,,,22,PHILIPS HAIR STRAIGHTENER-HP8302/06-NEW,,28,,767.19,PCS,8516 10 00
PHILIPS,GOODS,,,23,PHILIPS HAND MIXER HR1459/00-NEW,,28,,1328.91,PCS,8509 40 10
PHILIPS,GOODS,,,24,PHILIPS AIR PURIFIER AC1215/20-NEW,,18,,7146.63,PCS,8421 21 20
STEELWOOD,GOODS,,,25,STEELWOOD 3/BR 006A1,,18,,1772,PCS,7321 11 10
STEELWOOD,GOODS,,,26,STEELWOOD 006 (ALL) AUTO,,18,,2405,PCS,7321 11 10
STEELWOOD,GOODS,,,27,STEELWOOD 008 55,,18,,1990,PCS,7321 11 10
STEELWOOD,GOODS,,,28,STEELWOOD 2/BR 202 MAJESTIC,,18,,2060,PCS,7321 11 10
STEELWOOD,GOODS,,,29,STEELWOOD S/BR 101 TRENDY,,18,,1000,PCS,7321 11 10
UNBRANDED,GOODS,,,30,"EFCG 15""*1400RPM CG",,18,,2800,PCS,8414 51 10
MAHARAJA WHITE LINE,GOODS,,,31,ULTIMATE RED TREASURE- JMG,,28,,2015.62,PCS,8509 40 10
TEKAL,GOODS,,,32,INTENSE PURE AIR BASIC (NEW),,18,,7118.64,NOS,8421 21 20
TEKAL,GOODS,,,33,AN 25 LUX 2KW IV (3180396),,28,,5859.38,NOS,8516 10 00
WONDERCHEF,GOODS,,,34,WONDERCHEF EGG BOILER ,,28,,585.16,PCS,8509 40 10
WONDERCHEF,GOODS,,,35,WONDERCHEF SKT- PROFESSIONAL,,28,,2635.93,PCS,8516 10 00
WONDERCHEF,GOODS,,,36,WONDERCHEF ELECTRIC DOSA MAKER 30CM ,,28,,1053.9,PCS,8516 10 00
WONDERCHEF,GOODS,,,37,WONDERCHEF MAGIC ROTI MAKER,,28,,1874.21,PCS,8516 10 00
WONDERCHEF,GOODS,,,38,WONDERCHEF TURBO CHOPPER ,,18,,698.3,PCS,8210 00 00
WONDERCHEF,GOODS,,,39,WONDERCHEF DA VINCI SET - YELLOW,,12,,1539.29,PCS,7615 10 11
WONDERCHEF,GOODS,,,40,WONDERCHEF COLD PRESS SLOW JUICER - DIGITAL,,28,,7616.41,PCS,8509 40 10
WONDERCHEF,GOODS,,,41,WONDERCHEF PRATO ELECTRIC KETTLE 1.5L,,28,,1112.05,PCS,8516 10 00
SINGER,GOODS,,,42,SINGER COMPOSITE SEWING MACHINE ,,12,,2839.28,PCS,8452 10 11
SINGER,GOODS,,,43,SINGER START 1306 SEWING MACHINE,,12,,5625,PCS,8452 10 11
SINGER,GOODS,,,44,SINGER 8280 SEWING MACHINE,,12,,7946.42,PCS,8452 10 11
SINGER,GOODS,,,45,SINGER DUO POP-UP TOASTER,,28,,617.18,PCS,8516 10 00
SINGER,GOODS,,,46,SINGER QUADRAPOP,,28,,890,PCS,8516 10 00
BALTRA,GOODS,,,47,FARRATA FAN (EMINENT BF - 145)18 INCH,,18,,1926,PCS,8414 51 10
BALTRA,GOODS,,,48,TOOFAN FAN (BF) 143,,18,,1615,PCS,8414 51 10
BALTRA,GOODS,,,49,LEADER HAND BLADER(BHB -112),,28,,633,PCS,8509 40 10
BALTRA,GOODS,,,50,STROKE HEATER (BTH124),,28,,1066,PCS,8516 10 00
STAR RICE,GOODS,,,51,STAR RICE COOKER3.6LTR(BTS-1300),,28,,2208,SETS,8516 10 00
QUARTZ,GOODS,,,52,PRIDE QUARTZ HEATER (BTH-117),,28,,711,PCS,8516 10 00
AMAZE,GOODS,,,53,AMAZE COLDLESS KETTAL (BC-141),,28,,594,PCS,8516 10 00
TITAN,GOODS,,,54,TITAN FAN HEATER (BTH-126),,28,,797,PCS,8516 10 00
MEDIA,GOODS,,,55,MWPRU AL7 - PLASTIC TANK WITH 7 STAGE RO/UV,,18,,11864.41,NOS,8421 21 20
MEDIA,GOODS,,,56,MWPRU SL7 - STS  TANK WITH 7 STAGE RO/UV,,18,,13559.32,NOS,8421 21 20
MEDIA,GOODS,,,57,MWPRU CL-7 - COPPER  TANK WITH 7 STAGE RO/UV,,18,,15254.24,NOS,8421 21 20
MEDIA,GOODS,,,58,PRE FILTER ASSEMBLY (WP),,18,,0.01,NOS,8421 21 20
MEDIA,GOODS,,,59,DUMMY ASSY (RO+UV+ WP AL7) WATER PURIFIER,,18,,0.01,NOS,8415 10 90
OVASTAR,GOODS,,,60,OVASTAR 2418 TANDOOR TIMMER,,28,,1250,PCS,8516 10 00
PHILIPS,GOODS,,,61,PHILIPS MULTI STYLER BHH 811,,28,,3050,PCS,8516 10 00
PHILIPS,GOODS,,,62,PHILIPS HAIR STRAIGHTNER 8316,,28,,2070,PCS,8516 10 00
USHA,GOODS,,,63,USHA JMG 3345,,28,,2150,PCS,8509 40 10
USHA,GOODS,,,64,USHA MG 2853,,28,,1810,PCS,8509 40 10
PHILIPS,GOODS,,,65,PHILIPS GC 1920 STEAM IRON ,,28,,1420,PCS,8516 10 00
PHILIPS,GOODS,,,66,PHILIPS GC 1905 STEAM IRON ,,28,,1280,PCS,8516 10 00
PHILIPS,GOODS,,,67,PHILIPS GC1010 STEAM IRON ,,28,,980,PCS,8516 10 00
PHILIPS,GOODS,,,68,PHILIPS GC 181 IRON ,,28,,1050,PCS,8516 10 00
EUROLEX,GOODS,,,69,EUROLEX 8' VENTILATION FAN ,,18,,710,PCS,8414 51 10
PHILIPS,GOODS,,,70,PHILIPS GC 83 IRON,,28,,460,PCS,8516 10 00
PHILIPS,GOODS,,,71,PHILIPS GC 83 IRON 280L,,28,,360,PCS,8516 10 00
PHILIPS,GOODS,,,73,PHILIPS 1459 HAND MIXER,,28,,1363.28,PCS,8509 40 10
PHILIPS,GOODS,,,74,PHILIPS TRIMER BT1210/15,,28,,680,PCS,8510 30 00
PHILIPS,GOODS,,,75,PHILIPS TRIMER BT1210/15,,28,,910,PCS,8510 30 00
BLOWHOT,GOODS,,,76,RANGE HOOD ERICA 60 BLACK S/S B3 BLOWHOT,,18,,8985,PCS,8414 51 10
BLOWHOT,GOODS,,,77,RANGE HOOD BL-021 S/S BF,,18,,5381,PCS,8414 51 10
BLOWHOT,GOODS,,,78,RANGEHOOD BL - 009 ELECTRA BPC LOWHOT,,18,,6771,PCS,8414 51 10
BLOWHOT,GOODS,,,79,THREE BURNER GAS STOVE WR003 DIGITAL GLASS MYRA,,18,,2610,PCS,7321 11 10
BLOWHOT,GOODS,,,80,THREE BURNER GAS STOVE WR003 DIGITAL GLASS AUTO MYRA,,18,,3123,PCS,7321 11 10
BLOWHOT,GOODS,,,81,FOUR BURNER GAS STOVE WR004 STEEP DIGITAL GLASS MYRA WABER,,18,,3403,PCS,7321 11 10
LIBERTY,GOODS,,,82,LIBERTY SUPREME DX,,18,,6525.42,NOS,8479 20 90
SINGER,GOODS,,,83,LIBERTY SUPREME,,18,,6101.69,NOS,8479 20 90
SINGER,GOODS,,,84,AERCOOL DX,,18,,5932.2,NOS,8479 20 90
SINGER,GOODS,,,85,EVEREST SLEEK,,18,,5508.47,NOS,8479 20 90
RACOLD,GOODS,,,86,PRONTO NEO SS3V 3KW WH(3801876),,28,,2070.31,NOS,8516 10 00
BALTRA,GOODS,,,87,GUST JUSER(BJMG-102),,28,,2129,PCS,8509 40 10
BALTRA,GOODS,,,88,SUPERFAST BC-135,,28,,1,PCS,8516 10 00
BALTRA,GOODS,,,89,APACHE HAND BLANDER (BHB-113),,28,,569,PCS,8509 40 10
BALTRA,GOODS,,,90,HEATING CUP 13 CM (1.2LTR) (BHC-103),,28,,1,PCS,8516 10 00
HINDWARE,GOODS,,,91,HI44. HINDWARE CHIMNEY GRACE PLUS 60CM,,18,,6779.66,NOS,8414 51 10
MAHARAJA WHITE LINE,GOODS,,,92,JOY TURBO-MG (750W),,28,,1992.19,NOS,8509 40 10
MAHARAJA WHITE LINE,GOODS,,,93,HB TURBOMIX,,28,,617.19,NOS,8509 40 10
BALTRA,GOODS,,,94,GRILL UNO(GRILLER) (BTG- 105),,28,,2442,NOS,8516 10 00
BALTRA,GOODS,,,95,FEEL INDUCTION COOKER (BIC - 103),,28,,1755,NOS,8516 10 00
BALTRA,GOODS,,,96,HEXA HAIR BPC 806,,28,,488,NOS,8516 10 00
OVASTAR,GOODS,,,97,OVASTAR 1860 GARMENT STEAMER,,28,,3250,PCS,8516 10 00
CROMPTON,GOODS,,,98,CROMPTON 48' SUPER BRZ DECO BR,,18,,1235,PCS,8414 51 10
EUROLEX,GOODS,,,99,EUROLEX 16' WALL FAN,,18,,1315,PCS,8414 51 10
EUROLEX,GOODS,,,100,EUROLEX 3JAR MG,,28,,1380,PCS,8509 40 10
OVASTAR,GOODS,,,101,OVASTAR OTG 735 18 LT,,28,,2350,PCS,8516 10 00
OVASTAR,GOODS,,,102,OVASTAR 1311 HAIR STRAIGHTNER,,28,,510,PCS,8516 10 00
OVASTAR,GOODS,,,103,OVASTAR 1320 HAIR STRAIGHT CU,,28,,570,PCS,8516 10 00
STEELWOOD,GOODS,,,104,STEELWOOD 3/BR 07/DIGITEL GOLDEN/DTCOV/FBT/LPG STOVES,,18,,3110,PCS,7321 11 10
USHA,GOODS,,,105,USHA SM ALLURE 2011700002,,12,,8482.14,NOS,8452 10 11
LORDS,GOODS,,,106,3 JAR MIXER GRINDER (600W- AV),,28,,1132.81,PCS,8509 40 10
SINGER,GOODS,,,114,IFB MW 20G4S,,28,,5351,PCS,8516 10 00
SINGER,GOODS,,,115,IFB MW 17PG2S/3S,,28,,4843.75,PCS,8516 10 00
SINGER,GOODS,,,116,IFB MW 20PMIS/2S,,28,,4453.12,PCS,8516 10 00
SAMSUNG,GOODS,,,117,SAM MW MC 28H5023AK/TL,,28,,9164.06,PCS,8516 10 00
SAMSUNG,GOODS,,,118,SAM MW GW732KD-B,,28,,5468.75,PCS,8516 10 00
LG,GOODS,,,119,LG MW MS2043DB.DBIQILN,,28,,4500,PCS,8516 10 00
MICROWAVE,GOODS,,,120,MICROWAVE OVEN 20 MS SOLO MORPHY RICHARD,,28,,3710.94,PCS,8516 10 00
MORPHY RICHARD,GOODS,,,121,FOOD PROCESSOR ICON DELUX MORPHY RICHARD,,28,,5886.72,PCS,8509 40 10
HINDWARE,GOODS,,,124,HI166. HINDWARE CHMNEY ZAVIO PLUS 60AC,,18,,11440.67,NOS,8414 51 10
HINDWARE,GOODS,,,125,HI104.HINDWARE REVIO 60CM 600MM,,18,,10889.83,NOS,8414 51 10
HINDWARE,GOODS,,,126,HI94. HINWARE CT MILANO GI 3B AI (90001,,18,,4949.63,NOS,7321 11 10
HINDWARE,GOODS,,,127,HI32. HINDWARE USO INDUCTION (9001034),,28,,1523.43,NOS,8516 10 00
WONDERCHEF,GOODS,,,128,WONDERCHEF NUTRIBLEND BLACK,,28,,1757.03,PCS,8509 40 10
WONDERCHEF,GOODS,,,129,WONDERCHEF NUTRIBLEND WHITE,,28,,1757.03,PCS,8509 40 10
SYSKA,GOODS,,,130,SYS HAIR TRIMMER HT 1309 BLUE,,28,,707,PCS,8510 30 00
SYSKA,GOODS,,,131,SYS HAIR TRIMMER HT 300,,28,,852.5,PCS,8510 30 00
SYSKA,GOODS,,,132,SYS SHO360,,28,,1111,PCS,8510 30 00
SYSKA,GOODS,,,134,SYS SH6810,,28,,597.3,PCS,8510 30 00
SYSKA,GOODS,,,135,SYS HD1610,,28,,597.3,PCS,8510 30 00
SYSKA,GOODS,,,136,SYS HD3600-101 PCASPEA,,28,,805.5,PCS,8516 10 00
TATA,GOODS,,,137,TATASWACH 4STAGE UV +VF - VIVA,,18,,5338.98,NOS,8421 21 20
TATA,GOODS,,,138,TATA SWACH SMART SAPHIRE BLUE,,18,,0.01,NOS,8421 21 20
BAJAJ,GOODS,,,139,BAJAJ NMICROWAVE OVEN 1701 MT ,,28,,3125,PCS,8516 10 00
EUROLEX,GOODS,,,141,EUROLEX 2JAR MG,,28,,984.375,PCS,8509 40 10
EUROLEX,GOODS,,,142,EUROLEX 3JAR MG,,28,,1093.75,PCS,8509 40 10
OVASTAR,GOODS,,,143,OVASTAR 3102 HAIR CURLER WITH ,,28,,312.5,PCS,8516 10 00
USHA,GOODS,,,145,USHA SM ALLURE ,,12,,8410,PCS,8452 10 11
USHA,GOODS,,,146,USHA S/M WONDER STITCH ,,12,,9553.57,PCS,8452 10 11
USHA,GOODS,,,147,USHA S/M DREAM STICH,,12,,6116.07,PCS,8452 10 11
SUJATA,GOODS,,,148,SUJATA THREE JAR MIXER SUPERMIX,,28,,3203.13,PCS,8509 40 10
VOLTAS,GOODS,,,149,VOLTAS WATER DISPENSER PURE R ,,28,,5625,PCS,8418 10 10
PHILIPS,GOODS,,,150,PHILIPS BHS386/00,,28,,1513.51,PCS,8516 10 00
PHILIPS,GOODS,,,151,PHILIPS HP8120/00,,28,,786.77,PCS,8516 10 00
PHILIPS,GOODS,,,152,AIR PURIFIER 2882 PHILIPS,,18,,12288.17,PCS,8421 21 20
STEELWOOD,GOODS,,,153,STEELWOOD 3/BR 071 GOLDEN DIGITAL (DTCOV/MTCNOB/FBT),,18,,3110,PCS,7321 11 10
STEELWOOD,GOODS,,,154,STEELWOOD 3/BR 071 GOLDEN DIGITAL (DTCOV/FBT) AUTO,,18,,3860,PCS,7321 11 10
STEELWOOD,GOODS,,,155,STEELWOOD 2/BR 204 SUP.,,18,,1315,PCS,7321 11 10
HINDWARE,GOODS,,,156,HI71.HINDWARE CT VITO SS DLX 3B,,18,,2426.18,PCS,7321 11 10
HINDWARE,GOODS,,,157,HI 72.HINDWARE  VITO 4B SS (9001041),,18,,2831.18,PCS,7321 11 10
HINDWARE,GOODS,,,158,HI4. HINDWARE CHIMNEY PACIFIC B/F (900001),,18,,5084.74,PCS,8414 51 10
HINDWARE,GOODS,,,159,HI159. HINDWARE JUPITOR NEO SS CHIMNEY,,18,,5677.96,PCS,8414 51 10
SINGER,GOODS,,,160,SINGER SAPPHIRE STEAM IRON,,28,,891,PCS,8516 10 00
SINGER,GOODS,,,161,SINGER KITCHEN CRAFT,,28,,2968.75,PCS,8516 10 00
STEELWOOD,GOODS,,,162,STEELWOOD 600 MT ALL DIGITEL,,18,,1738,PCS,7321 11 10
STEELWOOD,GOODS,,,163,STEELWOOD 3/BR 006 TRINITY,,18,,1770,PCS,7321 11 10
STEELWOOD,GOODS,,,164,STEELWOOD 3/BR 006 TRINITY AUTO ,,18,,2405,PCS,7321 11 10
STEELWOOD,GOODS,,,165,STEELWOOD 3/BR 008 VT3 STEP,,18,,1990,PCS,7321 11 10
STEELWOOD,GOODS,,,166,STEELWOOD SBR 101 TRENDY,,18,,500,PCS,7321 11 10
PHILIPS,GOODS,,,167,PHILIPS 1632 JMG,,28,,1953.12,PCS,8509 40 10
PHILIPS,GOODS,,,168,PHILIPS HL 1606 MG,,28,,1640.62,PCS,8509 40 10
USHA,GOODS,,,170,USHA 1280MM FONTANA ORCHID GO,,18,,4703.38,PCS,8414 51 10
BAJAJ,GOODS,,,171,BAJAJ MICROWAVE OVEN 1701 MT,,28,,3125,PCS,8516 10 00
PHILIPS,GOODS,,,172,PHILIPS GC 330 GARMENT STEAME,,28,,3554.68,PCS,8516 10 00
EUROLEX,GOODS,,,173,48' C/FAN,,18,,872.88,PCS,8414 51 10
PHILIPS,GOODS,,,174,PHILIPS STEAM IRON MODEL 1905,,28,,1000,PCS,8516 10 00
PHILIPS,GOODS,,,175,PHILIPS STEAM IRON MODEL 1920,,28,,1078.12,PCS,8516 10 00
PHILIPS,GOODS,,,176,PHILIPS F.P 1661,,28,,5156.25,PCS,8509 40 10
MICROWAVE,GOODS,,,177,IFB MICROWAVE SALO,,28,,6796.87,PCS,8516 10 00
EUREKA FORBES,GOODS,,,178,EUREKA FORBES VACCUM TRENDY STEEL,,28,,5078.12,PCS,8508 11 00
HINDWARE,GOODS,,,179,HI169. HINDWARE CHIMNEY LARA NEO 60CM,,18,,6674.78,PCS,8414 51 10
WONDERCHEF,GOODS,,,180,WONDERCHEF CERAMIDE 6PC CASSEROLE SET - PINK,,12,,2543.75,PCS,7615 10 11
WONDERCHEF,GOODS,,,181,WONDERCHEF FRENCH BLOSSOM SET-BLUE,,12,,1472.32,PCS,7615 10 11
WONDERCHEF,GOODS,,,182,WONDERCHEF FRENCH BLOSSOM - PINK,,12,,1539.29,PCS,7615 10 11
WONDERCHEF,GOODS,,,185,WONDERCHEF MILK PAN,,12,,869.64,PCS,7323 91 90
WONDERCHEF,GOODS,,,186,WONDERCHEF PRATO MULTICCOK KETTLE 1.2L,,28,,1053.9,PCS,8516 10 00
WONDERCHEF,GOODS,,,187,WONDERCHEF ROYAL VELVET SET - RED,,12,,1472.32,PCS,7615 10 11
WONDERCHEF,GOODS,,,189,WONDERCHEF REGALIA TOSTER MONOCHROME WHITE ,,28,,1346.88,PCS,8516 10 00
WONDERCHEF,GOODS,,,191,WONDERCHEF PRATO HAND MIXER ,,28,,995.31,PCS,8509 40 10
WONDERCHEF,GOODS,,,192,WONDERCHEF EGG BOILER ,,28,,585.16,PCS,8509 40 10
WONDERCHEF,GOODS,,,193,WONDERCHEF BURLINGTON SET ,,12,,1398.7,PCS,7615 10 11
PHILIPS,GOODS,,,194,FOOD PROCESSOR 1661 PHILIPS ,,28,,5273.44,PCS,8509 40 10
ATLANSTIS,GOODS,,,195,FRESCO COFFEE MAKER,,28,,2299.22,PCS,8509 40 10
HAVELLS,GOODS,,,196,GHWRPPD015 HAVELLS PRO -HAVELLS,,18,,9099.35,PCS,8421 21 20
HAVELLS,GOODS,,,197,GHWRPMB015 HAVELLS MAX -HAVELLS,,18,,10074.35,PCS,8421 21 20
HAVELLS,GOODS,,,198,GHWUPRL015 HAVELLS UV PLUS -HAVELLS,,18,,6824.35,PCS,8421 21 20
HAVELLS,GOODS,,,199,GHWRZDO015 HAVELLS DIGITOUCH- HAVELLS,,18,,15599.35,PCS,8421 21 20
HAVELLS,GOODS,,,200,HINDWARE LARA NEO 60CM,,18,,8037,PCS,8414 51 10
BLUE STAR,GOODS,,,201,BLUE STAR BWD G SERIES TABLE TOP 3 TAP,,28,,4531.25,PCS,8418 10 10
BAJAJ,GOODS,,,202,BAJAJ GAS STOVE CGX3B M,,18,,2711,PCS,7321 11 10
EUROLEX,GOODS,,,203,"EUROLEX AXIAL FAN AXO - 6B 150MM(6"")",,18,,515.28,PCS,8414 51 10
EUROLEX,GOODS,,,204,"EUROLEX AXIAL FAN AXO - 4B 100MM(4"")",,18,,456.8,PCS,8414 51 10
EUROLEX,GOODS,,,205,EUROLEX AXIAL AUTOMATIC ELECTRIC IRON(EI 1604),,28,,535.19,PCS,8516 10 00
EUROLEX,GOODS,,,206,EUROLEX DRYIRON (EI 1109),,28,,311.74,PCS,8516 10 00
EUROLEX,GOODS,,,207,EUROLEX STEAM IRON  (SI 1615),,28,,653.74,PCS,8516 10 00
EUROLEX,GOODS,,,208,EUROLEX AUTOMATIC ELECTRIC IRON (EI-1602),,28,,285.17,PCS,8516 10 00
PHILIPS,GOODS,,,209,PHILIPS HD 4815 POP UP TOESTE,,28,,2601.56,PCS,8516 10 00
OVASTAR,GOODS,,,210,OVASTAR 3030 N HALOGEN HEATER ,,28,,1835.93,PCS,8516 10 00
EUROLEX,GOODS,,,211,EUROLEX 12' SHAKTI DLX EX FAN,,18,,720.33,PCS,8414 51 10
EUROLEX,GOODS,,,212,EUROLEX 12' SHAKTI DLX EX FAN 9',,18,,644.06,PCS,8414 51 10
BAJAJ,GOODS,,,213,BAJAJ POPUP TOASTER ATX21 4SL,,28,,1218.75,PCS,8516 10 00
EUROLEX,GOODS,,,214,EUROLEX 10' VENTILATION FAN,,18,,635.59,PCS,8414 51 10
USHA,GOODS,,,215,USHA HEAT CONVERTOR 812 T THE,,28,,1445.31,PCS,8516 10 00
BAJAJ,GOODS,,,216,BAJAJ MAJESTY ROOM HEATER OFR RH 9 PLUS ,,28,,4062.5,PCS,8516 10 00
BAJAJ,GOODS,,,217,BAJAJ MULTIFUNCTION RICE COOLER RC*28 DELUX ,,28,,1891.41,PCS,8516 10 00
